Time (s),Amplitude
0.034059,0.002228
0.034104,-0.002258
0.034150,-0.006897
0.034195,-0.008026
0.034240,-0.001404
0.034286,0.004852
0.034331,0.004333
0.034376,0.002136
0.034422,-0.000610
0.034467,-0.005005
0.034512,-0.006104
0.034558,-0.002411
0.034603,0.001923
0.034649,0.004028
0.034694,0.003082
0.034739,0.000519
0.034785,-0.002319
0.034830,-0.004974
0.034875,-0.004333
0.034921,0.000793
0.034966,0.004639
0.035011,0.003418
0.035057,0.001129
0.035102,-0.001404
0.035147,-0.005524
0.035193,-0.006073
0.035238,-0.001221
0.035283,0.003418
0.035329,0.005157
0.035374,0.004181
0.035420,-0.000671
0.035465,-0.006378
0.035510,-0.007751
0.035556,-0.003967
0.035601,0.003510
0.035646,0.009613
0.035692,0.008057
0.035737,0.001495
0.035782,-0.003754
0.035828,-0.006958
0.035873,-0.006042
0.035918,0.000671
0.035964,0.006531
0.036009,0.006409
0.036054,0.002808
0.036100,-0.002167
0.036145,-0.006805
0.036190,-0.007080
0.036236,-0.001953
0.036281,0.005737
0.036327,0.010376
0.036372,0.007233
0.036417,-0.000488
0.036463,-0.007599
0.036508,-0.011902
0.036553,-0.007355
0.036599,0.004578
0.036644,0.008850
0.036689,0.003601
0.036735,0.000580
0.036780,-0.003662
0.036825,-0.013367
0.036871,-0.013062
0.036916,0.000519
0.036961,0.006927
0.037007,0.001648
0.037052,-0.000824
0.037098,0.000183
0.037143,-0.001465
0.037188,-0.001709
0.037234,0.000000
0.037279,-0.001190
0.037324,-0.003113
0.037370,-0.002533
0.037415,0.000061
0.037460,0.004944
0.037506,0.008850
0.037551,0.005432
0.037596,-0.002808
0.037642,-0.008667
0.037687,-0.009796
0.037732,-0.003876
0.037778,0.008850
0.037823,0.016907
0.037868,0.011322
0.037914,0.000122
0.037959,-0.007202
0.038005,-0.010620
0.038050,-0.007629
0.038095,0.004395
0.038141,0.015747
0.038186,0.015076
0.038231,0.004456
0.038277,-0.006989
0.038322,-0.012695
0.038367,-0.009186
0.038413,-0.000305
0.038458,0.006561
0.038503,0.010803
0.038549,0.008606
0.038594,-0.004364
0.038639,-0.014038
0.038685,-0.009247
0.038730,-0.001709
0.038776,0.002655
0.038821,0.009399
0.038866,0.011292
0.038912,0.000824
0.038957,-0.010345
0.039002,-0.010986
0.039048,-0.004700
0.039093,0.001343
0.039138,0.004517
0.039184,0.005493
0.039229,0.002899
0.039274,-0.005524
0.039320,-0.011566
0.039365,-0.006470
0.039410,-0.000153
0.039456,-0.001587
0.039501,-0.002136
0.039546,0.000641
0.039592,-0.000793
0.039637,-0.003387
0.039683,-0.001465
0.039728,0.000427
0.039773,-0.001434
0.039819,-0.003876
0.039864,-0.003387
0.039909,-0.000366
0.039955,0.002106
0.040000,0.002319
0.040045,0.001648
0.040091,-0.000824
0.040136,-0.005981
0.040181,-0.007690
0.040227,-0.002777
0.040272,0.002441
0.040317,0.004395
0.040363,0.004303
0.040408,0.000732
0.040454,-0.004974
0.040499,-0.007751
0.040544,-0.005463
0.040590,0.001556
0.040635,0.008209
0.040680,0.007843
0.040726,0.002533
0.040771,-0.002411
0.040816,-0.006409
0.040862,-0.006989
0.040907,-0.001251
0.040952,0.005646
0.040998,0.007263
0.041043,0.004395
0.041088,-0.000977
0.041134,-0.005402
0.041179,-0.004425
0.041224,-0.001251
0.041270,0.001221
0.041315,0.003876
0.041361,0.003265
0.041406,0.000183
0.041451,0.001312
0.041497,0.003723
0.041542,0.002106
0.041587,-0.000214
0.041633,-0.001556
0.041678,-0.003357
0.041723,-0.002441
0.041769,0.002808
0.041814,0.007843
0.041859,0.007446
0.041905,0.001495
0.041950,-0.005096
0.041995,-0.007477
0.042041,-0.004913
0.042086,0.000763
0.042132,0.007019
0.042177,0.008728
0.042222,0.003754
0.042268,-0.002441
0.042313,-0.005066
0.042358,-0.004303
0.042404,-0.001007
0.042449,0.003052
0.042494,0.004486
0.042540,0.002808
0.042585,-0.000305
0.042630,-0.002655
0.042676,-0.001984
0.042721,-0.000183
0.042766,-0.000275
0.042812,-0.000793
0.042857,-0.000580
0.042902,-0.000397
0.042948,0.002716
0.042993,0.007568
0.043039,0.006500
0.043084,-0.000519
0.043129,-0.005829
0.043175,-0.007080
0.043220,-0.004181
0.043265,0.003265
0.043311,0.009766
0.043356,0.009918
0.043401,0.003052
0.043447,-0.009155
0.043492,-0.018524
0.043537,-0.014557
0.043583,0.000793
0.043628,0.016663
0.043673,0.024170
0.043719,0.014679
0.043764,-0.009369
0.043810,-0.023865
0.043855,-0.016479
0.043900,-0.003418
0.043946,0.008789
0.043991,0.024261
0.044036,0.024597
0.044082,-0.000641
0.044127,-0.021637
0.044172,-0.017944
0.044218,-0.006073
0.044263,0.003174
0.044308,0.012573
0.044354,0.014069
0.044399,0.003784
0.044444,-0.005035
0.044490,-0.004608
0.044535,-0.000854
0.044580,0.000000
0.044626,-0.003174
0.044671,-0.005768
0.044717,-0.003143
0.044762,0.001190
0.044807,0.003448
0.044853,0.005707
0.044898,0.003510
0.044943,-0.009521
0.044989,-0.020844
0.045034,-0.014709
0.045079,-0.000336
